laser_name,year,doi_or_link,laser_type,facility,country,facility_status,demonstrated_status,peak_power_w,wavelength_m,rep_rate_s_inv,max_intensity_w_m2,pulse_energy_j,pulse_duration_fs
"ATF CO2 CPA (5 TW, 2 ps, 9.2 µm)",2020,10.1364/OSAC.381467 ; https://www.bnl.gov/atf/capabilities/laser-systems.php ; BNL | Accelerator Test Facility | CO2 Laser,GAS,BNL Accelerator Test Facility,USA,Operational / Demonstrated,Y,7000000000000,9.2e-06,N/A,N/A,14,2000
2.44 µm advanced DC-OPA,2024,https://doi.org/10.1038/s41566-023-01331-9,OP,RIKEN / University of Tokyo-related group,Japan,Operational / Demonstrated,Y,6177000000000,2.4400000000000004e-06,10,N/A,0.053,8.58
4.4 TW OPCPA,2024,https://doi.org/10.1364/OPTICA.523525,OP,Ludwig Maximilian University (LMU Munich) / Max Planck Institute of Quantum Optics (MPQ),Germany,Operational / Demonstrated,Y,4400000000000,8.100000000000001e-07,5,N/A,600,9
1.8 µm two-cycle OPCPA,2017,https://doi.org/10.1364/OE.25.027706,OP,NRC Canada / attoscience group,Canada,Operational / Demonstrated,Y,2586000000000,1.8000000000000001e-06,10,N/A,0.03,11.6
NIKE KrF laser,2025,https://www.nrl.navy.mil/Portals/38/PDF%20Files/Nike_Lab_FacilityFS.pdf?ver=7hFmPNIILrxeUf0gdFDobg%3D%3D,GAS,Naval Research Laboratory,USA,Operational / Specialty KrF ICF Research Facility,Y,750000000000,2.48e-07,N/A,20000000000000000000,3,4
LULI2000 North beam,2003,https://www.wayforlight.eu/en/luli2000-north-beam,SS,LULI / École Polytechnique,France,Operational / User Facility,O,530000000000,1.0500000000000001e-06,N/A,200000000000000000000,8,1
Orion long-pulse 351 nm beamline shots,2013,(Optica Publishing Group),SS,AWE plc / Atomic Weapons Establishment,,Operational / Demonstrated,Y,400000000000,3.51e-07,-0.011111111111111112,N/A,400,1000000
PEARL,2006,10.1364/OPEX.14.000446 ; https://ieeexplore.ieee.org/document/10232619,OP,IAP RAS Nizhny Novgorod,Russia,Operational / Demonstrated,Y,200000000000,9.100000000000001e-07,1,N/A,14.5,45
4 µm OPCPA + HCF compression,2018,https://doi.org/10.1364/OL.43.002197,OP,"SIOM, Chinese Academy of Sciences",China,Operational / Demonstrated,Y,121000000000,4.000000000000001e-06,100,N/A,0.0026000000000000003,21.5
3-5 µm tunable mid-IR OPA,2013,https://doi.org/10.1364/OL.38.002159,OP,Shanghai Jiao Tong University-related mid-IR group,China,Operational / Demonstrated,Y,120000000000,3.4250000000000002e-06,10,N/A,0.0133,111
SwissFEL Aramis representative hard X-ray mode,2019,https://pmc.ncbi.nlm.nih.gov/articles/PMC6510206/,FEL,Paul Scherrer Institute / SwissFEL,Switzerland,Operational / XFEL User Facility,Y,100000000000,1.0000000000000002e-10,N/A,N/A,1,1
23 mJ high-power fiber CPA system,2021,https://arxiv.org/abs/2101.09686,FIB,Friedrich Schiller University Jena / Fraunhofer IOF,Germany,Demonstrated,Y,98000000000,1.03e-06,N/A,N/A,0.023,235
PAL-XFEL hard X-ray representative mode,2025,https://pmc.ncbi.nlm.nih.gov/articles/PMC11708847/,FEL,Pohang Accelerator Laboratory / PAL-XFEL,South Korea,Operational / XFEL User Facility,Y,95000000000,1.27e-10,N/A,N/A,0.0012,12.6
European XFEL SASE1 representative hard X-ray mode,2017,https://www.xfel.eu/facility/instruments/spb_sfx/instrument_design/index_eng.html,FEL,European XFEL,Germany,Operational / XFEL User Facility,O,80000000000,1.55e-10,N/A,N/A,4,5
SACLA BL3 representative 10 keV hard X-ray FEL,2012,https://pmc.ncbi.nlm.nih.gov/articles/PMC6412171/,FEL,SACLA / RIKEN SPring-8 Center,Japan,Operational / XFEL User Facility,O,60000000000,1.24e-10,N/A,N/A,6,1
LCLS hard X-ray FEL representative 8 keV mode,2009,https://lcls.slac.stanford.edu/machine/parameters,FEL,"Linac Coherent Light Source, SLAC",USA,Operational / XFEL User Facility,Y,50000000000,1.55e-10,N/A,N/A,0.0015,3
5 µm OPCPA,2020,https://doi.org/10.1364/OL.402562,OP,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,Operational / Demonstrated,Y,38000000000,4.9000000000000005e-06,1000,N/A,0.0034,89.4
3 µm Multi-mJ OPCPA,2021,https://doi.org/10.3390/photonics8110503,OP,Instituto Superior Técnico,Portugal,Operational / Demonstrated,Y,25700000000,3e-06,100,N/A,0.0036000000000000003,140
2.2 µm high-rep OPCPA,2020,https://doi.org/10.1364/OPTICA.379846?urlappend=%3Futm_source%3Dresearchgate.net%26utm_medium%3Darticle,OP,"ETH Zürich, Ultrafast Laser Physics group",Switzerland,Operational / Demonstrated,Y,14000000000,2.2e-06,100000,N/A,0.00025,16.5
DiPOLE100 / Bivoj 100 J DPSSL,2017,https://doi.org/10.1017/hpl.2018.56,SS,HiLASE Centre / STFC Central Laser Facility,Czech Republic,Operational / High-Average-Power User Laser,O,10500000000,1.03e-06,N/A,N/A,105,1
5.1 µm OPCPA,2020,https://doi.org/10.1364/OL.45.005998,OP,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,Operational / Demonstrated,Y,7700000000.000001,5.1e-06,1000,N/A,0.0006500000000000001,75
FLASH soft X-ray FEL representative EUV mode,2005,https://flash.desy.de/,FEL,DESY / FLASH,Germany,Operational / Soft-X-Ray FEL User Facility,Y,5000000000,1.35e-08,N/A,N/A,1,2
Ho:YLF CPA pump laser for MIR OPCPA,2020,arXiv:2004.12648,SS,CREOL / University of Central Florida,USA,Operational / Demonstrated,Y,4120000000.0000005,2.051e-06,1000,N/A,0.028,6800
7 µm OPCPA,2019,https://doi.org/10.1364/OL.44.003194,OP,ICFO / international mid-IR OPCPA group,Spain / International,Operational / Demonstrated,Y,4000000000,7.000000000000001e-06,100,N/A,0.00075,188
6.8 µm OPCPA,2019,https://doi.org/10.1364/OL.44.003194,OP,ICFO,Spain,Operational / Demonstrated,Y,3900000000,6.8e-06,100,N/A,0.00075,188
ELI-ALPS MIR OPCPA representative mode,2026,https://ekspla.com/stories/high-intensity-laser-systems/,OP,ELI-ALPS,Hungary,Operational / High-Repetition Mid-IR OPCPA,O,3300000000,3.2000000000000003e-06,N/A,N/A,0.00014,42.7
FERMI FEL-1 seeded XUV representative mode,2012,https://www.elettra.eu/lightsources/fermi/beam-parameters-copy/all.html,FEL,FERMI / Elettra Sincrotrone Trieste,Italy,Operational / Seeded FEL User Facility,O,1000000000,4e-08,N/A,N/A,1,1
Single-cycle compressed ytterbium fiber laser,2020,https://arxiv.org/abs/2001.08562,FIB,Max Planck Institute,Germany,Demonstrated,Y,600000000,1.03e-06,N/A,N/A,5,3.8
High peak-power Ho:CALGO femtosecond amplifier,2024,Experiments and numerical simulations of Ho:CALGO regenerative amplifier at 2.08 µm,SS,Ruhr University Bochum / collaborators,Germany,Design / Not demonstrated,N,525000000.00000006,2.1000000000000002e-06,100000,N/A,5.1e-05,97
11.4 µm LWIR OPCPA,2022,https://doi.org/10.1364/ASSL.2022.AM5A.2,OP,Max Born Institute for Nonlinear Optics and Short Pulse Spectroscopy,Germany,Operational / Demonstrated,Y,300000000,1.1400000000000001e-05,1000,N/A,6.5e-05,185
8.9 µm ZGP OPCPA,2022,High power (>5 W) λ∼9.6 µm tapered quantum cascade lasers grown by OMVPE - ScienceDirect,OP,Max Born Institute (MBI),Germany,Operational / Demonstrated,Y,160000000,8.900000000000001e-06,1000,N/A,1.9999999999999998e-05,126
Jefferson Lab broadband THz FEL representative mode,2004,https://www.jlab.org/accelerator/FEL/specs,FEL,Thomas Jefferson National Accelerator Facility,USA,Operational Historical / FEL Beamline,Y,2000000.0000000002,0.00030000000000000003,N/A,N/A,2,1
FELBE far-IR / THz,2003,https://www.wayforlight.eu/beamline/23637,FEL,Helmholtz-Zentrum Dresden-Rossendorf / FELBE,Germany,Operational,Y,1500000,0.0001,N/A,N/A,5,3333
APRRI PW Laser,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
CALA,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
CLPU VEGA-2,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
ELI-NP,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
ILES PW Laser,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
Laboratory for intense Laser-matter interaction physics,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
MTW-OPAL,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
Mercury,NR,,SS,Lawrence Livermore National Laboratory,,Operational / Demonstrated,Y,N/A,1.047e-06,10,N/A,N/A,N/A
Orion frequency-doubled short-pulse demonstration,2013,Optica Publishing Group),SS,AWE plc / Atomic Weapons Establishment,,Design / Not demonstrated,N,N/A,5.27e-07,N/A,N/A,100,N/A
PEARL,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
SG-II UP,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
SIOM PW Laser,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
SULF,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
VEGA,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
XCELS,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
iFAST,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
phoenix laser laborartory,,,,,,Operational / Demonstrated,Y,N/A,N/A,N/A,N/A,N/A,N/A
SHINE high-repetition XFEL design mode,2025,https://www.frontiersin.org/journals/physics/articles/10.3389/fphy.2023.1172368/full,FEL,Shanghai High-Repetition-Rate XFEL and Extreme Light Facility,China,Under Construction / High-Repetition XFEL,N,N/A,1.24e-10,N/A,N/A,N/A,N/A
SXFEL soft X-ray user facility representative mode,2023,https://www.researching.cn/articles/OJ66c2b07f6ffc3c38,FEL,Shanghai Soft X-Ray Free-Electron Laser Facility,China,Operational / Soft-X-Ray FEL User Facility,Y,N/A,2e-09,N/A,N/A,N/A,N/A
